date,airline,delay,cancelled
2003-9-01,American Airlines,624603.0,1137.0
2003-9-01,American Eagle Airlines,434728.0,903.0
2003-9-01,Atlantic Coast Airlines,257287.0,548.0
2003-9-01,Atlantic Southeast Airlines,254845.0,383.0
2003-9-01,Continental Air Lines,358796.0,356.0
2003-9-01,Delta Air Lines,400037.0,565.0
2003-9-01,ExpressJet Airlines,413435.0,643.0
2003-9-01,JetBlue Airways,23122.0,8.0
2003-9-01,Northwest Airlines,316911.0,417.0
2003-9-01,SkyWest Airlines,160782.0,295.0
2003-9-01,Southwest Airlines,516701.0,948.0
2003-9-01,US Airways,342934.0,632.0
2003-9-01,United Air Lines,362270.0,292.0
2004-1-01,ATA Airlines d/b/a ATA,220398.0,151.0
2004-1-01,AirTran Airways,258302.0,160.0
2004-1-01,Alaska Airlines,279721.0,1019.0
2004-1-01,America West Airlines,249759.0,314.0
2004-1-01,American Airlines,1435694.0,2300.0
2004-1-01,American Eagle Airlines,952861.0,2481.0
2004-1-01,Atlantic Coast Airlines,710464.0,1583.0
2004-1-01,Atlantic Southeast Airlines,256716.0,594.0
2004-1-01,Comair,556500.0,1345.0
2004-1-01,Continental Air Lines,286066.0,240.0
2004-1-01,Delta Air Lines,748694.0,1265.0
2004-1-01,ExpressJet Airlines,395434.0,638.0
2004-1-01,Hawaiian Airlines,35100.0,28.0
2004-1-01,JetBlue Airways,90670.0,24.0
2004-1-01,Northwest Airlines,664312.0,828.0
2004-1-01,SkyWest Airlines,623379.0,1385.0
2004-1-01,Southwest Airlines,868853.0,1690.0
2004-1-01,US Airways,440816.0,549.0
2004-1-01,United Air Lines,1081692.0,1017.0
2004-10-01,ATA Airlines d/b/a ATA,48240.0,22.0
2004-10-01,AirTran Airways,180167.0,70.0
2004-10-01,Alaska Airlines,215772.0,260.0
2004-10-01,America West Airlines,249266.0,203.0
2004-10-01,American Airlines,823023.0,358.0
2004-10-01,American Eagle Airlines,659005.0,1090.0
2004-10-01,Atlantic Southeast Airlines,414229.0,639.0
2004-10-01,Comair,411783.0,517.0
2004-10-01,Continental Air Lines,169592.0,14.0
2004-10-01,Delta Air Lines,693812.0,310.0
2004-10-01,ExpressJet Airlines,316812.0,77.0
2004-10-01,Hawaiian Airlines,12668.0,5.0
2004-10-01,Independence Air,361942.0,593.0
2004-10-01,JetBlue Airways,54178.0,4.0
2004-10-01,Northwest Airlines,437833.0,209.0
2004-10-01,SkyWest Airlines,455797.0,820.0
2004-10-01,Southwest Airlines,1207180.0,614.0
2004-10-01,US Airways,455856.0,504.0
2004-10-01,United Air Lines,524303.0,386.0
2004-11-01,ATA Airlines d/b/a ATA,74597.0,4.0
2004-11-01,AirTran Airways,306033.0,96.0
2004-11-01,Alaska Airlines,337161.0,284.0
2004-11-01,America West Airlines,262965.0,246.0
2004-11-01,American Airlines,906342.0,368.0
2004-11-01,American Eagle Airlines,759811.0,1568.0
2004-11-01,Atlantic Southeast Airlines,524844.0,764.0
2004-11-01,Comair,381862.0,434.0
2004-11-01,Continental Air Lines,414328.0,27.0
2004-11-01,Delta Air Lines,967992.0,481.0
2004-11-01,ExpressJet Airlines,573428.0,455.0
2004-11-01,Hawaiian Airlines,23747.0,9.0
2004-11-01,Independence Air,292467.0,190.0
2004-11-01,JetBlue Airways,55563.0,1.0
2004-11-01,Northwest Airlines,394913.0,231.0
2004-11-01,SkyWest Airlines,479030.0,1077.0
2004-11-01,Southwest Airlines,1260646.0,430.0
2004-11-01,US Airways,545817.0,335.0
2004-11-01,United Air Lines,605010.0,337.0
2004-12-01,ATA Airlines d/b/a ATA,116658.0,33.0
2004-12-01,AirTran Airways,358185.0,147.0
2004-12-01,Alaska Airlines,523601.0,361.0
2004-12-01,America West Airlines,331416.0,283.0
2004-12-01,American Airlines,1375102.0,859.0
2004-12-01,American Eagle Airlines,1026032.0,1514.0
2004-12-01,Atlantic Southeast Airlines,500824.0,875.0
2004-12-01,Comair,689747.0,5265.0
2004-12-01,Continental Air Lines,459771.0,122.0
2004-12-01,Delta Air Lines,1172211.0,1199.0
2004-12-01,ExpressJet Airlines,807722.0,1068.0
2004-12-01,Hawaiian Airlines,18764.0,12.0
2004-12-01,Independence Air,512475.0,535.0
2004-12-01,JetBlue Airways,215549.0,0.0
2004-12-01,Northwest Airlines,792929.0,432.0
2004-12-01,SkyWest Airlines,880146.0,1930.0
2004-12-01,Southwest Airlines,1919379.0,832.0
2004-12-01,US Airways,966692.0,874.0
2004-12-01,United Air Lines,914196.0,763.0
2004-2-01,ATA Airlines d/b/a ATA,78575.0,135.0
2004-2-01,AirTran Airways,374247.0,135.0
2004-2-01,Alaska Airlines,195744.0,250.0
2004-2-01,America West Airlines,284041.0,274.0
2004-2-01,American Airlines,998685.0,1174.0
2004-2-01,American Eagle Airlines,636621.0,886.0
2004-2-01,Atlantic Coast Airlines,492182.0,607.0
2004-2-01,Atlantic Southeast Airlines,329994.0,706.0
2004-2-01,Comair,421276.0,934.0
2004-2-01,Continental Air Lines,271634.0,90.0
2004-2-01,Delta Air Lines,1072690.0,1097.0
2004-2-01,ExpressJet Airlines,301342.0,117.0
2004-2-01,Hawaiian Airlines,42841.0,34.0
2004-2-01,JetBlue Airways,41500.0,7.0
2004-2-01,Northwest Airlines,508941.0,581.0
2004-2-01,SkyWest Airlines,489139.0,818.0
2004-2-01,Southwest Airlines,988497.0,944.0
2004-2-01,US Airways,344380.0,380.0
2004-2-01,United Air Lines,533477.0,312.0
2004-3-01,ATA Airlines d/b/a ATA,94110.0,63.0
2004-3-01,AirTran Airways,147352.0,79.0
2004-3-01,Alaska Airlines,216877.0,220.0
2004-3-01,America West Airlines,281955.0,228.0
2004-3-01,American Airlines,1022549.0,952.0
2004-3-01,American Eagle Airlines,845462.0,1346.0
2004-3-01,Atlantic Coast Airlines,651671.0,577.0
2004-3-01,Atlantic Southeast Airlines,166499.0,260.0
2004-3-01,Comair,291328.0,572.0
2004-3-01,Continental Air Lines,335303.0,145.0
2004-3-01,Delta Air Lines,525954.0,391.0
2004-3-01,ExpressJet Airlines,424518.0,439.0
2004-3-01,Hawaiian Airlines,29012.0,16.0
2004-3-01,JetBlue Airways,69425.0,3.0
