month,airline,delay
2003-07,Jet Blue,
2003-07,KLM Royal Dutch Airlines,
2003-07,Korean Airlines,
2003-07,Lufthansa,
2003-07,Midwest Express Airlines,
2003-07,Northwest Airlines,
2003-07,Qantus Airways,
2003-07,Southwest Airlines,
2003-07,Spirit Airlines,
2003-07,Sun Country Airlines,
2003-07,UAL,
2003-07,USAir,
2003-07,Virgin Atlantic,
2003-08,Aero Mexico,
2003-08,Air Canada,
2003-08,Air France,
2003-08,Air Jamaica,
2003-08,AirTran Airlines,
2003-08,Alaska Airlines,
2003-08,Alitalia,
2003-08,Allegiant Air,
2003-08,Aloha Airlines,
2003-08,America Trans Air,
2003-08,America West,
2003-08,American Airlines,
2003-08,British Airways,
2003-08,Continental Airlines,
2003-08,Delta Air Lines,
2003-08,Frontier Airlines,
2003-08,Hawaiian Airlines,
2003-08,Horizon Air,
2003-08,Japan Airlines,
2003-08,Jet Blue,
2003-08,KLM Royal Dutch Airlines,
2003-08,Korean Airlines,
2003-08,Lufthansa,
2003-08,Midwest Express Airlines,
2003-08,Northwest Airlines,
2003-08,Qantus Airways,
2003-08,Singapore Airlines,
2003-08,Skywest Airlines Inc USA,
2003-08,Southwest Airlines,
2003-08,Spirit Airlines,
2003-08,TWA,
2003-08,UAL,
2003-08,USAir,
2003-08,Virgin Atlantic,
2003-09,Aer Lingus,
2003-09,Air Canada,
2003-09,Air France,
2003-09,AirTran Airlines,
2003-09,Alaska Airlines,
2003-09,Alitalia,
2003-09,Aloha Airlines,
2003-09,America Trans Air,
2003-09,America West,
2003-09,American Airlines,
2003-09,American Eagle,
2003-09,British Airways,
2003-09,Continental Airlines,
2003-09,Delta (Song,
2003-09,Delta Air Lines,
2003-09,Frontier Airlines,
2003-09,Jet Blue,
2003-09,Lufthansa,
2003-09,Mexicana,
2003-09,Northwest Airlines,
2003-09,Southwest Airlines,
2003-09,Spirit Airlines,
2003-09,UAL,
2003-09,USAir,
2003-09,Virgin Atlantic,
2003-10,Aer Lingus,
2003-10,Air Canada,
2003-10,Air France,
2003-10,Air Jamaica,
2003-10,Air New Zealand,
2003-10,Air Tran Airlines(do not use,
2003-10,AirTran Airlines,
2003-10,Alaska Airlines,
2003-10,Aloha Airlines,
2003-10,America Trans Air,
2003-10,America West,
2003-10,American Airlines,
2003-10,American West,
2003-10,British Airways,
2003-10,Cape Air,
2003-10,Continental Airlines,
2003-10,Delta (Song,
2003-10,Delta Air Lines,
2003-10,Frontier Airlines,
2003-10,Hawaiian Airlines,
2003-10,Jet Blue,
2003-10,Lufthansa,
2003-10,Northwest Airlines,
2003-10,Southeast Airlines,
2003-10,Southwest Airlines,
2003-10,Spirit Airlines,
2003-10,UAL,
2003-10,USAir,
2003-10,Virgin Atlantic,
2003-11,Aero Mexico,
2003-11,Air Canada,
2003-11,Air France,
2003-11,Air Jamaica,
2003-11,Air Phillipines,
2003-11,AirTran Airlines,
2003-11,Alaska Airlines,
2003-11,Aloha Airlines,
2003-11,America Trans Air,
2003-11,America West,
2003-11,American Airlines,
2003-11,British Airways,
2003-11,Continental Airlines,
2003-11,Delta Air Lines,
2003-11,Frontier Airlines,
2003-11,Japan Airlines,
2003-11,Jet Blue,
2003-11,KLM Royal Dutch Airlines,
2003-11,Lufthansa,
2003-11,Mexicana,
2003-11,Northwest Airlines,
2003-11,Singapore Airlines,
2003-11,Southwest Airlines,
2003-11,Spirit Airlines,
2003-11,Sun Country Airlines,
2003-11,Swiss Air,
2003-11,Tran Meridian Airlines,
2003-11,UAL,
2003-11,USA 3000 (U5,
2003-11,USAir,
2003-11,Virgin Atlantic,
2003-12,Aero Mexico,
2003-12,Air Canada,
2003-12,Air France,
2003-12,Air Jamaica,
2003-12,AirTran Airlines,
2003-12,Alaska Airlines,
2003-12,Alitalia,
2003-12,Allegiant Air,
2003-12,Aloha Airlines,
2003-12,America Trans Air,
2003-12,America West,
2003-12,American Airlines,
2003-12,British Airways,
2003-12,Continental Airlines,
2003-12,Delta Air Lines,
2003-12,Frontier Airlines,
2003-12,Frontier Aviation,
2003-12,Iceland Air,
2003-12,Japan Airlines,
2003-12,Jet Blue,
2003-12,KLM Royal Dutch Airlines,
2003-12,Lufthansa,
2003-12,Northwest Airlines,
2003-12,Qantus Airways,
2003-12,Southwest Airlines,
2003-12,Spirit Airlines,
2003-12,TWA,
2003-12,UAL,
2003-12,USAir,
2003-12,Virgin Atlantic,
2004-01,Aer Lingus,
2004-01,Aero Mexico,
2004-01,Air Canada,
2004-01,Air France,
2004-01,AirTran Airlines,
2004-01,Alaska Airlines,
2004-01,Aloha Airlines,
