month,airline,delay
2006-02,Skywest Airlines Inc USA,
2006-02,Southwest Airlines,
2006-02,Spirit Airlines,
2006-02,Sun Country Airlines,
2006-02,UAL,
2006-02,USA 3000 (U5,
2006-02,USAir,
2006-02,Virgin Atlantic,
2006-03,ATA Aerocondor,
2006-03,Aer Lingus,
2006-03,Aero California,
2006-03,Air Canada,
2006-03,Air China,
2006-03,Air France,
2006-03,Air Jamaica,
2006-03,Air Tran Airlines(do not use,
2006-03,AirTran Airlines,
2006-03,Alaska Airlines,
2006-03,All Nippon Airways,
2006-03,Allegiant Air,
2006-03,Aloha Airlines,
2006-03,America West,
2006-03,American Airlines,
2006-03,American Eagle,
2006-03,American West,
2006-03,Austrian Airlines,
2006-03,Bahama Airlines,
2006-03,British Airways,
2006-03,British West Indies Airlines,
2006-03,Cathay Pacific - CX,
2006-03,Cayman Airlines,
2006-03,Champion Airlines,
2006-03,Continental Airlines,
2006-03,Continental Express,
2006-03,Delta (Song,
2006-03,Delta Air Lines,
2006-03,EL AL Israeli Airlines,
2006-03,Frontier Airlines,
2006-03,Great Lakes Airline,
2006-03,Harmony Airlines,
2006-03,Hawaiian Airlines,
2006-03,Hooters Air (PACE,
2006-03,Horizon Air,
2006-03,Independence Air,
2006-03,Island Air,
2006-03,Jet Blue,
2006-03,KLM Royal Dutch Airlines,
2006-03,Korean Airlines,
2006-03,Lan Airlines,
2006-03,Lufthansa,
2006-03,Mexicana,
2006-03,Midwest Express Airlines,
2006-03,Northwest Airlines,
2006-03,Qantus Airways,
2006-03,Ryan Air,
2006-03,Skywest Airlines Inc USA,
2006-03,Southwest Airlines,
2006-03,Spirit Airlines,
2006-03,Sun Country Airlines,
2006-03,Swiss Air,
2006-03,Turkish Airlines,
2006-03,UAL,
2006-03,US Express,
2006-03,USA 3000 (U5,
2006-03,USAir,
2006-03,Virgin Atlantic,
2006-04,ATA Aerocondor,
2006-04,Aero Mexico,
2006-04,Air Canada,
2006-04,Air France,
2006-04,Air Tran Airlines(do not use,
2006-04,AirTran Airlines,
2006-04,Alaska Airlines,
2006-04,Allegiant Air,
2006-04,Aloha Airlines,
2006-04,America Trans Air,
2006-04,America West,
2006-04,American Airlines,
2006-04,American Eagle,
2006-04,American West,
2006-04,Austrian Airlines,
2006-04,British Airways,
2006-04,Canadian Airlines,
2006-04,Cape Air,
2006-04,Cathay Pacific - CX,
2006-04,Continental Airlines,
2006-04,Delta (Song,
2006-04,Delta Air Lines,
2006-04,Frontier Airlines,
2006-04,Frontier Aviation,
2006-04,Hawaiian Airlines,
2006-04,Horizon Air,
2006-04,Island Air,
2006-04,Jet Blue,
2006-04,KLM Royal Dutch Airlines,
2006-04,LOT Polish Airlines,
2006-04,Lan Airlines,
2006-04,Lufthansa,
2006-04,Mexicana,
2006-04,Midwest Express Airlines,
2006-04,Northwest Airlines,
2006-04,OMNI Air Express- (OY,
2006-04,Pan American Airways,
2006-04,Ryan Air,
2006-04,Singapore Airlines,
2006-04,South African Airways,
2006-04,Southwest Airlines,
2006-04,Spirit Airlines,
2006-04,Sun Country Airlines,
2006-04,Swiss Air,
2006-04,Turkish Airlines,
2006-04,UAL,
2006-04,US Express,
2006-04,USA 3000 (U5,
2006-04,USAir,
2006-04,Virgin Atlantic,
2006-04,Westjet Airlines,
2006-05,ATA Aerocondor,
2006-05,Aero Lloyd,
2006-05,Air Canada,
2006-05,Air France,
2006-05,Air Tran Airlines(do not use,
2006-05,AirTran Airlines,
2006-05,Alaska Airlines,
2006-05,Alitalia,
2006-05,Allegiant Air,
2006-05,Aloha Airlines,
2006-05,Aloha Islandair,
2006-05,America Trans Air,
2006-05,America West,
2006-05,American Airlines,
2006-05,American Eagle,
2006-05,American West,
2006-05,Bahama Airlines,
2006-05,British Airways,
2006-05,Cape Air,
2006-05,Cathay Pacific - CX,
2006-05,Cayman Airlines,
2006-05,Champion Airlines,
2006-05,Continental Airlines,
2006-05,Continental Express,
2006-05,Delta (Song,
2006-05,Delta Air Lines,
2006-05,EL AL Israeli Airlines,
2006-05,Frontier Airlines,
2006-05,Hawaiian Airlines,
2006-05,Horizon Air,
2006-05,Iceland Air,
2006-05,Island Air,
2006-05,Japan Airlines,
2006-05,Jet Blue,
2006-05,KLM Royal Dutch Airlines,
2006-05,Korean Airlines,
2006-05,Lufthansa,
2006-05,Midway Airlines,
2006-05,Midwest Express Airlines,
2006-05,Northwest Airlines,
2006-05,Northwest International Airways,
2006-05,Qantus Airways,
2006-05,Scandinavian Airlines Systems,
2006-05,Skywest Airlines Inc USA,
2006-05,South African Airways,
2006-05,Southeast Airlines,
2006-05,Southwest Airlines,
2006-05,Spirit Airlines,
2006-05,Sun Country Airlines,
2006-05,Swiss Air,
2006-05,Turkish Airlines,
2006-05,UAL,
2006-05,US Express,
2006-05,USA 3000 (U5,
2006-05,USAir,
2006-05,Virgin Atlantic,
2006-05,Westjet Airlines,
2006-06,ATA Aerocondor,
2006-06,Aero Mexico,
2006-06,Air Canada,
2006-06,Air France,
2006-06,Air Jamaica,
2006-06,Air New Zealand,
2006-06,Air Tran Airlines(do not use,
2006-06,AirTran Airlines,
2006-06,Alaska Airlines,
2006-06,Alitalia,
2006-06,Allegiant Air,
2006-06,Aloha Airlines,
2006-06,America Trans Air,
2006-06,America West,
2006-06,American Airlines,
2006-06,American Eagle,
2006-06,American West,
2006-06,Brit Air,
2006-06,British Airways,
2006-06,British West Indies Airlines,
2006-06,Champion Airlines,
2006-06,China Airlines,
2006-06,Comair,
2006-06,Continental Airlines,
2006-06,Continental Express,
2006-06,Delta (Song,
2006-06,Delta Air Lines,
2006-06,Frontier Airlines,
2006-06,Frontier Aviation,
2006-06,Great Lakes Airline,
2006-06,Hawaiian Airlines,
2006-06,Horizon Air,
2006-06,Indian Airlines,
2006-06,Japan Airlines,
2006-06,Jet Blue,
2006-06,Jet Train Airlines,
2006-06,KLM Royal Dutch Airlines,
2006-06,Lufthansa,
2006-06,Mexicana,
2006-06,Midwest Express Airlines,
2006-06,North American Airlines,
2006-06,Northwest Airlines,
2006-06,Pakistan International Airlines Cor,
2006-06,Qantus Airways,
2006-06,Singapore Airlines,
2006-06,Skywest Airlines Australia,
2006-06,Skywest Airlines Inc USA,
2006-06,Southwest Airlines,
2006-06,Spirit Airlines,
2006-06,Swiss Air,
2006-06,UAL,
2006-06,US Express,
2006-06,USA 3000 (U5,
2006-06,USAir,
2006-06,Virgin Atlantic,
2006-06,Westjet Airlines,
2006-07,ATA Aerocondor,
2006-07,Aero Mexico,
2006-07,Air Canada,
2006-07,Air France,
2006-07,Air Jamaica,
2006-07,Air Tran Airlines(do not use,
2006-07,AirTran Airlines,
2006-07,Alaska Airlines,
2006-07,Allegiant Air,
2006-07,Aloha Airlines,
2006-07,America West,
2006-07,American Airlines,
2006-07,American Eagle,
2006-07,American West,
2006-07,Avianca,
2006-07,British Airways,
2006-07,Cape Air,
2006-07,Cathay Pacific - CX,
2006-07,China Airlines,
2006-07,Continental Airlines,
2006-07,Continental Express,
2006-07,Delta (Song,
2006-07,Delta Air Lines,
2006-07,EL AL Israeli Airlines,
2006-07,Frontier Airlines,
2006-07,Go,
2006-07,Hawaiian Airlines,
2006-07,Horizon Air,
2006-07,Japan Airlines,
2006-07,Jet Blue,
2006-07,Jet Train Airlines,
2006-07,Lufthansa,
2006-07,Midwest Express Airlines,
2006-07,Monarch Airlines,
2006-07,Northwest Airlines,
2006-07,OMNI Air Express- (OY,
2006-07,Piedmont Airlines,
2006-07,Qantus Airways,
2006-07,Scandinavian Airlines Systems,
2006-07,Skywest Airlines Inc USA,
2006-07,Southwest Airlines,
2006-07,Spirit Airlines,
2006-07,Sun Country Airlines,
2006-07,UAL,
2006-07,US Express,
2006-07,USA 3000 (U5,
2006-07,USAir,
2006-07,Virgin Atlantic,
2006-07,Westjet Airlines,
2006-08,ATA Aerocondor,
2006-08,Air Canada,
2006-08,Air France,
2006-08,Air Jamaica,
2006-08,Air New Zealand,
2006-08,Air Tran Airlines(do not use,
2006-08,AirTran Airlines,
2006-08,Alaska Airlines,
2006-08,All Nippon Airways,
2006-08,Allegiant Air,
2006-08,Aloha Airlines,
2006-08,America Trans Air,
2006-08,America West,
2006-08,American Airlines,
2006-08,American Eagle,
2006-08,American West,
2006-08,British Airways,
2006-08,Cathay Pacific - CX,
2006-08,Champion Airlines,
2006-08,China Airlines,
2006-08,Continental Airlines,
2006-08,Continental Express,
2006-08,Czechoslavak Airlines,
2006-08,Delta (Song,
2006-08,Delta Air Lines,
2006-08,EL AL Israeli Airlines,
2006-08,Frontier Airlines,
2006-08,Great Lakes Airline,
2006-08,Hawaiian Airlines,
2006-08,Horizon Air,
2006-08,Island Air,
2006-08,Jet Blue,
2006-08,KLM Royal Dutch Airlines,
2006-08,LOT Polish Airlines,
2006-08,Lan Airlines,
2006-08,Lufthansa,
2006-08,Mexicana,
2006-08,Midwest Express Airlines,
2006-08,Northwest Airlines,
2006-08,Olympic Airways,
2006-08,Polish Airlines,
2006-08,Qantus Airways,
2006-08,Saudi Arabian Airlines,
2006-08,Scandinavian Airlines Systems,
2006-08,Singapore Airlines,
2006-08,Skywest Airlines Inc USA,
2006-08,South African Airways,
2006-08,Southwest Airlines,
2006-08,Spirit Airlines,
2006-08,Sun Country Airlines,
2006-08,UAL,
2006-08,US Express,
2006-08,USA 3000 (U5,
2006-08,USAir,
2006-08,Virgin Atlantic,
2006-09,ATA Aerocondor,
2006-09,Aero Mexico,
2006-09,Air Canada,
2006-09,Air France,
2006-09,Air Jamaica,
2006-09,Air New Zealand,
2006-09,Air Tran Airlines(do not use,
2006-09,AirTran Airlines,
2006-09,Alaska Airlines,
2006-09,Allegiant Air,
2006-09,Aloha Airlines,
2006-09,America Trans Air,
2006-09,America West,
2006-09,American Airlines,
2006-09,American Eagle,
2006-09,American West,
2006-09,British Airways,
2006-09,Cape Air,
2006-09,Cayman Airlines,
2006-09,Champion Airlines,
2006-09,Continental Airlines,
2006-09,Continental Express,
2006-09,Croatia Airlines,
2006-09,Delta Air Lines,
2006-09,EL AL Israeli Airlines,
2006-09,EVA airlines,
2006-09,Frontier Airlines,
2006-09,Hawaiian Airlines,
2006-09,Horizon Air,
2006-09,Iceland Air,
2006-09,Jet Blue,
2006-09,KLM Royal Dutch Airlines,
2006-09,Korean Airlines,
2006-09,Lufthansa,
2006-09,Mexicana,
2006-09,Midway Airlines,
2006-09,Midwest Express Airlines,
2006-09,Northwest Airlines,
2006-09,Olympic Airways,
2006-09,Qantus Airways,
2006-09,Southwest Airlines,
2006-09,Spirit Airlines,
2006-09,Sun Country Airlines,
2006-09,Turkish Airlines,
2006-09,UAL,
2006-09,US Express,
2006-09,USA 3000 (U5,
2006-09,USAir,
2006-09,Virgin Atlantic,
2006-10,ATA Aerocondor,
2006-10,Aero Mexico,
2006-10,Air Canada,
2006-10,Air France,
2006-10,Air Jamaica,
2006-10,Air Malta,
2006-10,Air New Zealand,
2006-10,Air Portugal,
2006-10,Air Tran Airlines(do not use,
2006-10,AirTran Airlines,
2006-10,Alaska Airlines,
2006-10,Alitalia,
2006-10,Allegiant Air,
2006-10,Aloha Airlines,
2006-10,America West,
2006-10,American Airlines,
2006-10,American Eagle,
2006-10,American West,
2006-10,Austrian Airlines,
2006-10,British Airways,
2006-10,Cape Air,
2006-10,Champion Airlines,
2006-10,Continental Airlines,
2006-10,Continental Express,
2006-10,Delta Air Lines,
2006-10,EVA airlines,
2006-10,Frontier Airlines,
2006-10,Hawaiian Airlines,
2006-10,Horizon Air,
2006-10,Iceland Air,
2006-10,Island Air,
2006-10,Japan Airlines,
2006-10,Jet Blue,
2006-10,Korean Airlines,
2006-10,Lufthansa,
2006-10,Midwest Express Airlines,
2006-10,Northwest Airlines,
2006-10,Olympic Airways,
2006-10,Pakistan International Airlines Cor,
2006-10,Qantus Airways,
2006-10,Scandinavian Airlines Systems,
2006-10,Southeast Airlines,
2006-10,Southwest Airlines,
2006-10,Spirit Airlines,
2006-10,UAL,
2006-10,US Express,
2006-10,USA 3000 (U5,
2006-10,USAir,
2006-10,Virgin Atlantic,
2006-11,ATA Aerocondor,
2006-11,Air Canada,
2006-11,Air China,
2006-11,Air France,
2006-11,Air Jamaica,
2006-11,Air Tran Airlines(do not use,
2006-11,AirTran Airlines,
2006-11,Alaska Airlines,
2006-11,Alitalia,
2006-11,Allegiant Air,
2006-11,Aloha Airlines,
2006-11,America Trans Air,
2006-11,America West,
2006-11,American Airlines,
2006-11,American Eagle,
2006-11,American West,
2006-11,Bahama Airlines,
2006-11,Brit Air,
2006-11,British Airways,
2006-11,British West Indies Airlines,
2006-11,Cathay Pacific - CX,
2006-11,Continental Airlines,
2006-11,Continental Express,
2006-11,Delta Air Lines,
2006-11,EL AL Israeli Airlines,
2006-11,Frontier Airlines,
2006-11,Frontier Aviation,
2006-11,Go,
2006-11,Hawaiian Airlines,
2006-11,Horizon Air,
2006-11,Iceland Air,
2006-11,Jet Blue,
2006-11,KLM Royal Dutch Airlines,
2006-11,Korean Airlines,
2006-11,Lan Airlines,
2006-11,Mexicana,
2006-11,Midwest Express Airlines,
2006-11,Northwest Airlines,
2006-11,Olympic Airways,
2006-11,Qantus Airways,
2006-11,Ryan Air,
2006-11,Singapore Airlines,
2006-11,Skywest Airlines Inc USA,
2006-11,Southeast Airlines,
2006-11,Southwest Airlines,
2006-11,Spirit Airlines,
2006-11,Sun Country Airlines,
2006-11,Thai Airways,
2006-11,UAL,
2006-11,USA 3000 (U5,
2006-11,USAir,
2006-11,Virgin Atlantic,
2006-12,ATA Aerocondor,
2006-12,Air Canada,
2006-12,Air France,
2006-12,Air Jamaica,
2006-12,Air Tran Airlines(do not use,
2006-12,AirTran Airlines,
2006-12,Alaska Airlines,
2006-12,Alitalia,
2006-12,Allegiant Air,
2006-12,Aloha Airlines,
2006-12,America West,
2006-12,American Airlines,
2006-12,American Eagle,
2006-12,American West,
2006-12,British Airways,
2006-12,Canadian Airlines,
2006-12,Cape Air,
2006-12,Cathay Pacific - CX,
2006-12,Champion Airlines,
2006-12,China Airlines,
2006-12,Comair,
2006-12,Continental Airlines,
2006-12,Delta Air Lines,
2006-12,EL AL Israeli Airlines,
2006-12,EVA airlines,
2006-12,Frontier Airlines,
2006-12,Go,
2006-12,Hawaiian Airlines,
2006-12,Horizon Air,
2006-12,Island Air,
2006-12,Japan Airlines,
2006-12,Jet Blue,
2006-12,KLM Royal Dutch Airlines,
2006-12,Lufthansa,
2006-12,Mexicana,
2006-12,Midwest Express Airlines,
2006-12,Northwest Airlines,
2006-12,Qantus Airways,
2006-12,Ryan Air,
2006-12,Scandinavian Airlines Systems,
2006-12,Southwest Airlines,
2006-12,Spirit Airlines,
2006-12,Sun Country Airlines,
2006-12,Swiss Air,
2006-12,UAL,
2006-12,US Express,
2006-12,USA 3000 (U5,
2006-12,USAir,
2006-12,Virgin Atlantic,
2006-12,Virgin Express,
2006-12,Westjet Airlines,
2007-01,ATA Aerocondor,
2007-01,Air Canada,
2007-01,Air France,
2007-01,Air New Zealand,
2007-01,Air Tran Airlines(do not use,
2007-01,AirTran Airlines,
2007-01,Alaska Airlines,
2007-01,Alitalia,
2007-01,Allegiant Air,
2007-01,Aloha Airlines,
2007-01,America West,
2007-01,American Airlines,
2007-01,American Central,
2007-01,American Eagle,
2007-01,American West,
2007-01,Avianca,
2007-01,Britannia Airways,
2007-01,British Airways,
2007-01,China Airlines,
2007-01,Continental Airlines,
2007-01,Continental Express,
2007-01,Czech Airlines,
2007-01,Delta Air Lines,
2007-01,Frontier Airlines,
2007-01,Hawaiian Airlines,
2007-01,Horizon Air,
2007-01,Iceland Air,
2007-01,Japan Airlines,
2007-01,Jet Blue,
2007-01,Lufthansa,
2007-01,Mexicana,
2007-01,Midway Airlines,
2007-01,Midwest Express Airlines,
2007-01,North American Airlines,
2007-01,Northwest Airlines,
2007-01,Qantus Airways,
2007-01,Skywest Airlines Inc USA,
2007-01,Southeast Airlines,
2007-01,Southwest Airlines,
2007-01,Spirit Airlines,
2007-01,Sun Country Airlines,
2007-01,Swiss Air,
2007-01,UAL,
2007-01,US Express,
2007-01,USA 3000 (U5,
2007-01,USAir,
2007-01,Virgin Atlantic,
2007-01,Westjet Airlines,
2007-02,ATA Aerocondor,
2007-02,Aer Lingus,
2007-02,Aero Mexico,
2007-02,Aerolineas Argentinas,
2007-02,Air Canada,
2007-02,Air China,
2007-02,Air France,
2007-02,Air Tran Airlines(do not use,
2007-02,AirTran Airlines,
2007-02,Alaska Airlines,
2007-02,Alitalia,
2007-02,Allegiant Air,
2007-02,Aloha Airlines,
2007-02,America Trans Air,
2007-02,America West,
2007-02,American Airlines,
2007-02,American Eagle,
2007-02,American West,
2007-02,Avianca,
2007-02,British Airways,
2007-02,Cathay Pacific - CX,
2007-02,Continental Airlines,
2007-02,Continental Express,
2007-02,Delta Air Lines,
2007-02,EL AL Israeli Airlines,
2007-02,EVA airlines,
2007-02,Frontier Airlines,
2007-02,Hawaiian Airlines,
2007-02,Horizon Air,
2007-02,Iceland Air,
2007-02,Island Air,
2007-02,Jet Blue,
2007-02,KLM Royal Dutch Airlines,
2007-02,Lufthansa,
2007-02,Mexicana,
2007-02,Midway Airlines,
2007-02,Midwest Express Airlines,
2007-02,North American Airlines,
2007-02,Northwest Airlines,
2007-02,Polish Airlines,
2007-02,Qantus Airways,
2007-02,Ryan Air,
2007-02,Scandinavian Airlines Systems,
2007-02,Skywest Airlines Inc USA,
2007-02,Southeast Airlines,
2007-02,Southwest Airlines,
2007-02,Spirit Airlines,
2007-02,Sun Country Airlines,
2007-02,UAL,
2007-02,US Express,
2007-02,USA 3000 (U5,
2007-02,USAir,
2007-02,Virgin Atlantic,
2007-03,ATA Aerocondor,
2007-03,Aero Mexico,
2007-03,Air Canada,
2007-03,Air France,
2007-03,Air Tran Airlines(do not use,
2007-03,AirTran Airlines,
2007-03,Alaska Airlines,
2007-03,Alitalia,
2007-03,Allegiant Air,
2007-03,Aloha Airlines,
2007-03,America West,
2007-03,American Airlines,
2007-03,American Eagle,
2007-03,American West,
2007-03,Britannia Airways,
2007-03,British Airways,
2007-03,Cayman Airlines,
2007-03,Continental Airlines,
2007-03,Continental Express,
2007-03,Delta Air Lines,
2007-03,EL AL Israeli Airlines,
2007-03,Frontier Airlines,
2007-03,Guyana Airways,
2007-03,Harmony Airlines,
2007-03,Hawaiian Airlines,
2007-03,Horizon Air,
2007-03,Island Air,
2007-03,Jet Blue,
2007-03,KLM Royal Dutch Airlines,
2007-03,LOT Polish Airlines,
2007-03,Lufthansa,
2007-03,Mexicana,
2007-03,Midway Airlines,
2007-03,Midwest Express Airlines,
2007-03,Northwest Airlines,
2007-03,Pakistan International Airlines Cor,
2007-03,Qantus Airways,
2007-03,Ryan Air,
2007-03,Singapore Airlines,
2007-03,Skywest Airlines Inc USA,
2007-03,South African Airways,
2007-03,Southwest Airlines,
2007-03,Spirit Airlines,
2007-03,Sun Country Airlines,
2007-03,UAL,
2007-03,US Express,
2007-03,USA 3000 (U5,
2007-03,USAir,
2007-03,Virgin Atlantic,
2007-03,Westjet Airlines,
2007-04,ATA Aerocondor,
2007-04,Aer Lingus,
2007-04,Air Canada,
2007-04,Air France,
2007-04,Air Jamaica,
2007-04,Air Tran Airlines(do not use,
2007-04,AirTran Airlines,
2007-04,Alaska Airlines,
2007-04,Allegiant Air,
2007-04,Aloha Airlines,
2007-04,America West,
2007-04,American Airlines,
2007-04,American Eagle,
2007-04,American West,
2007-04,Avianca,
2007-04,British Airways,
2007-04,Cathay Pacific - CX,
2007-04,Comair,
2007-04,Continental Airlines,
2007-04,Continental Express,
2007-04,Delta Air Lines,
2007-04,Egypt Air,
2007-04,Frontier Airlines,
2007-04,Hawaiian Airlines,
2007-04,Horizon Air,
2007-04,Japan Airlines,
2007-04,Jet Blue,
2007-04,KLM Royal Dutch Airlines,
2007-04,Korean Airlines,
2007-04,Lufthansa,
2007-04,Mexicana,
2007-04,Midwest Express Airlines,
2007-04,Northwest Airlines,
2007-04,Northwest International Airways,
2007-04,Qantus Airways,
2007-04,Royal Jordanian Airline,
2007-04,Ryan Air,
2007-04,Singapore Airlines,
2007-04,Southwest Airlines,
2007-04,Spirit Airlines,
2007-04,Sun Country Airlines,
2007-04,UAL,
2007-04,US Express,
2007-04,USA 3000 (U5,
2007-04,USAir,
2007-04,Virgin Atlantic,
2007-04,Westjet Airlines,
2007-05,ATA Aerocondor,
2007-05,Air Canada,
2007-05,Air France,
2007-05,Air New Zealand,
2007-05,Air Pacific,
2007-05,Air Tran Airlines(do not use,
2007-05,AirTran Airlines,
2007-05,Alaska Airlines,
2007-05,Alitalia,
2007-05,All Nippon Airways,
2007-05,Allegiant Air,
2007-05,Aloha Airlines,
2007-05,America West,
2007-05,American Airlines,
2007-05,American Eagle,
2007-05,American West,
2007-05,British Airways,
2007-05,British Midland Airways,
2007-05,Cape Air,
2007-05,Continental Airlines,
2007-05,Continental Express,
2007-05,Delta Air Lines,
2007-05,EL AL Israeli Airlines,
2007-05,EVA airlines,
2007-05,Frontier Airlines,
2007-05,Frontier Aviation,
2007-05,Hawaiian Airlines,
2007-05,Horizon Air,
2007-05,Japan Airlines,
2007-05,Jet Blue,
2007-05,KLM Royal Dutch Airlines,
2007-05,Korean Airlines,
2007-05,Lufthansa,
2007-05,Malaysian Airline System,
2007-05,Midwest Express Airlines,
2007-05,Monarch Airlines,
2007-05,Northwest Airlines,
2007-05,Northwest International Airways,
2007-05,Qantus Airways,
2007-05,Ryan Air,
2007-05,Southwest Airlines,
2007-05,Spirit Airlines,
2007-05,Sun Country Airlines,
2007-05,UAL,
2007-05,US Express,
2007-05,USA 3000 (U5,
2007-05,USAir,
2007-05,Virgin Atlantic,
2007-06,ATA Aerocondor,
2007-06,Aero Mexico,
2007-06,Aerolineas Argentinas,
2007-06,Air Canada,
2007-06,Air France,
2007-06,Air Jamaica,
2007-06,Air Tran Airlines(do not use,
2007-06,AirTran Airlines,
2007-06,Alaska Airlines,
2007-06,Alitalia,
2007-06,Allegiant Air,
2007-06,Aloha Airlines,
2007-06,America West,
2007-06,American Airlines,
2007-06,American Eagle,
2007-06,Asiana Airlines,
2007-06,Austrian Airlines,
2007-06,British Airways,
2007-06,Cathay Pacific - CX,
2007-06,Champion Airlines,
2007-06,China Airlines,
2007-06,China Eastern Airlines,
2007-06,Continental Airlines,
2007-06,Continental Express,
2007-06,Delta Air Lines,
2007-06,EL AL Israeli Airlines,
2007-06,Frontier Airlines,
2007-06,Frontier Aviation,
2007-06,Go,
2007-06,Great Lakes Airline,
2007-06,Hawaiian Airlines,
2007-06,Horizon Air,
2007-06,Jet Blue,
2007-06,KLM Royal Dutch Airlines,
2007-06,Korean Airlines,
2007-06,Lufthansa,
2007-06,Mexicana,
2007-06,Midwest Express Airlines,
2007-06,North American Airlines,
2007-06,Northwest Airlines,
2007-06,Qantus Airways,
2007-06,Scandinavian Airlines Systems,
2007-06,Singapore Airlines,
2007-06,Southwest Airlines,
2007-06,Spirit Airlines,
2007-06,Sun Country Airlines,
2007-06,UAL,
2007-06,US Express,
2007-06,USA 3000 (U5,
2007-06,USAir,
2007-06,Virgin Atlantic,
2007-07,ATA Aerocondor,
2007-07,Aero Flot,
2007-07,Aero Mexico,
2007-07,Air Canada,
2007-07,Air France,
2007-07,Air India,
2007-07,Air Tran Airlines(do not use,
2007-07,AirTran Airlines,
2007-07,Alaska Airlines,
2007-07,Allegiant Air,
2007-07,Aloha Airlines,
2007-07,America West,
2007-07,American Airlines,
2007-07,American Eagle,
2007-07,American West,
2007-07,Asiana Airlines,
2007-07,Austrian Airlines,
2007-07,British Airways,
2007-07,British Midland Airways,
2007-07,Champion Airlines,
2007-07,China Airlines,
2007-07,Continental Airlines,
2007-07,Continental Express,
2007-07,Delta (Song,
2007-07,Delta Air Lines,
2007-07,EL AL Israeli Airlines,
2007-07,Egypt Air,
2007-07,Frontier Airlines,
2007-07,Frontier Aviation,
2007-07,Great Lakes Airline,
2007-07,Hawaiian Airlines,
2007-07,Horizon Air,
2007-07,Japan Airlines,
2007-07,Jet Blue,
2007-07,KLM Royal Dutch Airlines,
2007-07,Korean Airlines,
2007-07,LOT Polish Airlines,
2007-07,Lufthansa,
2007-07,Malev Hungarian Airlines,
2007-07,Midwest Express Airlines,
2007-07,Monarch Airlines,
2007-07,Northwest Airlines,
2007-07,OMNI Air Express- (OY,
2007-07,Pakistan International Airlines Cor,
2007-07,Qantus Airways,
2007-07,Ryan Air,
2007-07,Singapore Airlines,
2007-07,Southeast Airlines,
2007-07,Southwest Airlines,
2007-07,Spirit Airlines,
2007-07,Sun Country Airlines,
2007-07,UAL,
2007-07,US Express,
2007-07,USA 3000 (U5,
2007-07,USAir,
2007-07,Virgin Atlantic,
2007-08,ATA Aerocondor,
2007-08,Aer Lingus,
2007-08,Aero Mexico,
2007-08,Aerosweet Airlines,
2007-08,Air Canada,
2007-08,Air France,
2007-08,Air Tran Airlines(do not use,
2007-08,AirTran Airlines,
2007-08,Alaska Airlines,
2007-08,Alitalia,
2007-08,Allegiant Air,
2007-08,Aloha Airlines,
2007-08,America Trans Air,
2007-08,American Airlines,
2007-08,American Central,
2007-08,American Eagle,
2007-08,American West,
2007-08,Asiana Airlines,
2007-08,Austrian Airlines,
2007-08,Avianca,
2007-08,British Airways,
2007-08,Cathay Pacific - CX,
2007-08,China Airlines,
2007-08,Commercial Airways,
2007-08,Continental Airlines,
2007-08,Continental Express,
2007-08,Delta Air Lines,
2007-08,Frontier Airlines,
2007-08,Go,
2007-08,Hawaiian Airlines,
2007-08,Horizon Air,
2007-08,Jet Blue,
2007-08,KLM Royal Dutch Airlines,
2007-08,Lufthansa,
2007-08,Malaysian Airline System,
2007-08,Midwest Express Airlines,
2007-08,Montair Aviation,
2007-08,North American Airlines,
2007-08,Northwest Airlines,
2007-08,Olympic Airways,
2007-08,Pakistan International Airlines Cor,
2007-08,Royal Jordanian Airline,
2007-08,Ryan Air,
2007-08,Skywest Airlines Inc USA,
2007-08,South African Airways,
2007-08,Southwest Airlines,
2007-08,Spirit Airlines,
2007-08,Sun Country Airlines,
2007-08,Swiss Air,
2007-08,Thai Airways,
2007-08,UAL,
2007-08,USA 3000 (U5,
2007-08,USAir,
2007-08,Virgin Atlantic,
2007-08,Westjet Airlines,
2007-09,ATA Aerocondor,
2007-09,Air Canada,
2007-09,Air France,
2007-09,Air India,
2007-09,Air Jamaica,
2007-09,Air Tran Airlines(do not use,
2007-09,AirTran Airlines,
2007-09,Alaska Airlines,
2007-09,Alitalia,
2007-09,Allegiant Air,
2007-09,Aloha Airlines,
2007-09,America West,
2007-09,American Airlines,
2007-09,American Eagle,
2007-09,Austrian Airlines,
2007-09,Big Sky Airlines,
2007-09,British Airways,
2007-09,Cape Air,
2007-09,Champion Airlines,
2007-09,Continental Airlines,
2007-09,Continental Express,
2007-09,Delta (Song,
2007-09,Delta Air Lines,
2007-09,EVA airlines,
2007-09,Frontier Airlines,
2007-09,Hawaiian Airlines,
2007-09,Horizon Air,
2007-09,Iberia Airlines,
2007-09,Japan Airlines,
2007-09,Jet Blue,
2007-09,KLM Royal Dutch Airlines,
2007-09,Korean Airlines,
2007-09,Lan Airlines,
2007-09,Lufthansa,
2007-09,Mexicana,
2007-09,Midwest Express Airlines,
2007-09,Northwest Airlines,
2007-09,Qantus Airways,
2007-09,Skywest Airlines Inc USA,
2007-09,Southwest Airlines,
2007-09,Spirit Airlines,
2007-09,Sun Country Airlines,
2007-09,Swiss Air,
2007-09,Travelspan,
2007-09,UAL,
2007-09,US Express,
2007-09,USA 3000 (U5,
2007-09,USAir,
2007-09,Virgin Atlantic,
2007-09,Westjet Airlines,
2007-10,ATA Aerocondor,
2007-10,Aer Lingus,
