date,airline,Item,Claim Amount
2002-01-04,Continental Airlines,1,1
2002-02-04,American Airlines,1,1
2002-02-07,American Airlines,1,1
2002-02-18,Air Tran Airlines(do not use,1,1
2002-02-18,Delta (Song,1,1
2002-04-30,USAir,1,1
2002-06-20,Southwest Airlines,1,1
2002-07-06,American Airlines,1,1
2002-07-07,AirTran Airlines,1,1
2002-07-08,American Airlines,1,1
2002-07-08,Southwest Airlines,1,1
2002-07-12,American Airlines,1,1
2002-07-22,Northwest Airlines,1,1
2002-07-24,Delta Air Lines,1,1
2002-08-12,Delta Air Lines,1,1
2002-08-17,Southwest Airlines,1,1
2002-08-19,America West,1,1
2002-08-21,Continental Airlines,1,1
2002-08-21,Southwest Airlines,1,1
2002-09-09,Delta Air Lines,1,1
2002-09-09,USAir,1,1
2002-09-16,American Airlines,1,1
2002-09-16,Delta Air Lines,1,1
2002-09-18,American Airlines,1,1
2002-09-18,Continental Airlines,1,1
2002-09-18,Delta Air Lines,1,1
2002-09-18,Jet Blue,1,1
2002-09-18,UAL,1,1
2002-09-19,America West,1,1
2002-09-19,Continental Airlines,1,1
2002-09-19,Southwest Airlines,1,1
2002-09-19,UAL,2,2
2002-09-20,Southwest Airlines,2,2
2002-09-22,British Airways,1,1
2002-09-24,Delta Air Lines,2,2
2002-09-25,Delta Air Lines,1,1
2002-09-27,USAir,2,2
2002-09-30,Southwest Airlines,1,1
2002-09-30,Virgin Atlantic,1,1
2002-10-02,Jet Blue,1,1
2002-10-02,Northwest Airlines,1,1
2002-10-02,Southwest Airlines,1,1
2002-10-08,Southwest Airlines,1,1
2002-10-08,UAL,1,1
2002-10-09,Continental Airlines,1,1
2002-10-09,UAL,1,1
2002-10-15,American Airlines,2,2
2002-10-17,American Airlines,2,2
2002-10-17,Southwest Airlines,1,1
2002-10-17,USAir,1,1
2002-10-17,Virgin Atlantic,1,1
2002-10-21,Delta Air Lines,1,1
2002-10-21,Southwest Airlines,1,1
2002-10-21,USAir,1,1
2002-10-22,USAir,1,1
2002-10-23,American Airlines,2,2
2002-10-23,Delta Air Lines,3,3
2002-10-23,UAL,1,1
2002-10-25,American Airlines,1,1
2002-10-25,Jet Blue,1,1
2002-10-28,American Airlines,1,1
2002-10-28,Southwest Airlines,1,1
2002-10-28,UAL,1,1
2002-10-29,American Airlines,2,2
2002-10-29,Delta Air Lines,1,1
2002-10-29,Southwest Airlines,1,1
2002-10-29,UAL,1,1
2002-10-31,Alaska Airlines,1,1
2002-11-01,Alaska Airlines,1,1
2002-11-01,American Airlines,1,1
2002-11-01,Delta Air Lines,2,2
2002-11-01,Jet Blue,1,1
2002-11-01,USAir,1,1
2002-11-02,Southwest Airlines,1,1
2002-11-04,Aloha Airlines,1,1
2002-11-04,America West,2,2
2002-11-04,American Airlines,1,1
2002-11-04,Continental Airlines,1,1
2002-11-04,Tran Meridian Airlines,1,1
2002-11-05,AirTran Airlines,1,1
2002-11-05,Continental Airlines,2,2
2002-11-05,Delta Air Lines,4,4
2002-11-05,Southwest Airlines,3,3
2002-11-05,UAL,1,1
2002-11-05,USAir,1,1
2002-11-06,Continental Airlines,1,1
2002-11-06,Delta Air Lines,1,1
2002-11-06,Northwest Airlines,1,1
2002-11-06,Spirit Airlines,1,1
2002-11-07,AirTran Airlines,1,1
2002-11-07,America West,1,1
2002-11-07,American Airlines,1,1
2002-11-07,Continental Airlines,1,1
2002-11-07,Delta Air Lines,4,4
2002-11-07,Northwest Airlines,1,1
2002-11-07,UAL,1,1
2002-11-07,USAir,1,1
2002-11-12,American Airlines,1,1
2002-11-12,Continental Airlines,2,2
2002-11-12,Southwest Airlines,3,3
2002-11-12,Spirit Airlines,1,1
2002-11-13,Alaska Airlines,1,1
2002-11-13,America West,1,1
2002-11-13,American Airlines,2,2
2002-11-13,Delta Air Lines,2,2
2002-11-13,Northwest Airlines,2,2
2002-11-13,Southwest Airlines,6,6
2002-11-13,USAir,1,1
2002-11-14,Alaska Airlines,1,1
2002-11-14,American Airlines,3,3
2002-11-14,American West,1,1
2002-11-14,Delta Air Lines,1,1
2002-11-14,Frontier Airlines,1,1
2002-11-14,Southwest Airlines,3,3
2002-11-14,USAir,2,2
2002-11-15,American Airlines,3,3
2002-11-15,Delta Air Lines,3,3
2002-11-15,Northwest Airlines,1,1
2002-11-15,UAL,2,2
2002-11-15,USAir,1,1
2002-11-18,America West,1,1
2002-11-18,American Airlines,1,1
2002-11-18,Jet Blue,1,1
2002-11-18,UAL,1,1
2002-11-18,USAir,2,2
2002-11-19,Southwest Airlines,1,1
2002-11-19,UAL,1,1
2002-11-20,American Airlines,5,5
2002-11-20,Continental Airlines,2,2
2002-11-20,Delta Air Lines,5,5
2002-11-20,Jet Blue,1,1
2002-11-20,Northwest Airlines,3,3
2002-11-20,Southwest Airlines,9,9
2002-11-20,Spirit Airlines,1,1
2002-11-20,UAL,7,7
2002-11-20,USAir,5,5
2002-11-21,America West,1,1
2002-11-21,Jet Blue,1,1
2002-11-21,Northwest Airlines,1,1
2002-11-21,UAL,1,1
2002-11-22,America West,1,1
2002-11-22,American Airlines,1,1
2002-11-22,Delta Air Lines,2,2
2002-11-22,Jet Blue,1,1
2002-11-22,Southwest Airlines,1,1
2002-11-22,UAL,2,2
2002-11-22,USAir,1,1
2002-11-25,Air Canada,1,1
2002-11-25,Alaska Airlines,2,2
2002-11-25,American Airlines,3,3
2002-11-25,Continental Airlines,1,1
2002-11-25,Delta Air Lines,4,4
2002-11-25,Northwest Airlines,3,3
2002-11-25,Southwest Airlines,2,2
2002-11-25,UAL,1,1
2002-11-25,USAir,1,1
2002-11-26,American Airlines,1,1
2002-11-26,Delta Air Lines,1,1
2002-11-26,Northwest Airlines,1,1
2002-11-26,UAL,2,2
2002-11-26,USAir,2,2
2002-11-27,American Airlines,1,1
2002-11-27,UAL,1,1
2002-11-27,USAir,1,1
2002-11-29,America West,1,1
2002-11-29,American Airlines,3,3
2002-11-29,British Airways,1,1
2002-11-29,Continental Airlines,1,1
2002-11-29,Delta Air Lines,1,1
2002-11-29,Northwest Airlines,2,2
2002-11-29,Southwest Airlines,3,3
2002-11-29,UAL,1,1
2002-11-29,USAir,1,1
2002-12-02,American Airlines,1,1
2002-12-02,Delta Air Lines,1,1
2002-12-02,UAL,1,1
2002-12-03,America Trans Air,1,1
2002-12-03,American Airlines,4,4
2002-12-03,Delta Air Lines,5,5
2002-12-03,Jet Blue,1,1
2002-12-03,Northwest Airlines,2,2
2002-12-03,UAL,1,1
2002-12-03,USAir,2,2
2002-12-04,Alaska Airlines,1,1
2002-12-04,American Airlines,1,1
2002-12-04,Continental Airlines,1,1
2002-12-04,Delta Air Lines,3,3
2002-12-04,Southwest Airlines,3,3
2002-12-04,UAL,1,1
2002-12-05,American Airlines,1,1
2002-12-05,Continental Airlines,1,1
2002-12-05,Delta Air Lines,1,1
2002-12-06,Delta Air Lines,2,2
2002-12-06,USAir,1,1
2002-12-09,American Airlines,1,1
2002-12-09,Continental Airlines,1,1
2002-12-09,Delta Air Lines,1,1
2002-12-09,Jet Blue,2,2
2002-12-09,Southwest Airlines,3,3
2002-12-09,UAL,2,2
2002-12-09,USAir,1,1
2002-12-10,Alaska Airlines,1,1
2002-12-10,American Airlines,5,5
2002-12-10,Northwest Airlines,5,5
2002-12-10,Southwest Airlines,2,2
2002-12-10,UAL,1,1
2002-12-10,USAir,3,3
2002-12-11,AirTran Airlines,1,1
2002-12-11,Alaska Airlines,1,1
2002-12-11,America West,1,1
2002-12-11,American Airlines,1,1
2002-12-11,Continental Airlines,1,1
2002-12-11,Delta Air Lines,3,3
2002-12-11,Southwest Airlines,3,3
2002-12-11,UAL,1,1
2002-12-11,USAir,1,1
2002-12-12,American Airlines,3,3
2002-12-12,Delta Air Lines,1,1
2002-12-12,Jet Blue,1,1
2002-12-12,UAL,1,1
2002-12-12,USAir,1,1
2002-12-13,AirTran Airlines,1,1
2002-12-13,Alaska Airlines,1,1
2002-12-13,America West,2,2
2002-12-13,American Airlines,9,9
2002-12-13,Continental Airlines,6,6
2002-12-13,Delta Air Lines,5,5
2002-12-13,Northwest Airlines,5,5
2002-12-13,Southwest Airlines,5,5
2002-12-13,UAL,5,5
2002-12-13,USAir,9,9
2002-12-15,American Airlines,1,1
2002-12-16,Alaska Airlines,2,2
2002-12-16,America West,1,1
2002-12-16,American Airlines,3,3
2002-12-16,Continental Airlines,1,1
2002-12-16,Delta Air Lines,1,1
2002-12-16,Northwest Airlines,4,4
2002-12-16,Southwest Airlines,11,11
2002-12-16,UAL,2,2
2002-12-16,USAir,1,1
2002-12-17,American Airlines,5,5
2002-12-17,Continental Airlines,2,2
2002-12-17,Delta Air Lines,2,2
2002-12-17,Frontier Airlines,1,1
2002-12-17,Southwest Airlines,3,3
2002-12-17,Spirit Airlines,1,1
2002-12-17,UAL,1,1
2002-12-17,USAir,3,3
2002-12-18,America Trans Air,1,1
2002-12-18,America West,1,1
2002-12-18,American Airlines,3,3
2002-12-18,Continental Airlines,1,1
2002-12-18,Delta Air Lines,5,5
2002-12-18,Southwest Airlines,3,3
2002-12-18,UAL,2,2
2002-12-18,USAir,1,1
2002-12-19,American Airlines,1,1
2002-12-19,Northwest Airlines,2,2
2002-12-19,Southwest Airlines,2,2
2002-12-19,UAL,1,1
2002-12-20,AirTran Airlines,1,1
2002-12-20,America West,1,1
2002-12-20,British Airways,1,1
2002-12-20,Continental Airlines,1,1
2002-12-20,Delta Air Lines,1,1
2002-12-20,Northwest Airlines,2,2
2002-12-20,Southwest Airlines,2,2
2002-12-20,Spirit Airlines,1,1
2002-12-20,USAir,1,1
2002-12-23,American Airlines,5,5
2002-12-23,Continental Airlines,2,2
2002-12-23,Delta Air Lines,2,2
2002-12-23,Southwest Airlines,2,2
2002-12-23,UAL,3,3
2002-12-23,USAir,1,1
2002-12-24,AirTran Airlines,1,1
2002-12-24,American Airlines,1,1
2002-12-24,Continental Airlines,1,1
2002-12-24,Delta Air Lines,1,1
2002-12-24,Northwest Airlines,1,1
2002-12-24,USAir,1,1
2002-12-25,Continental Airlines,1,1
2002-12-26,America West,1,1
2002-12-26,Continental Airlines,3,3
2002-12-26,Delta Air Lines,2,2
2002-12-26,Northwest Airlines,2,2
2002-12-26,Southwest Airlines,1,1
2002-12-26,UAL,2,2
2002-12-27,American Airlines,2,2
2002-12-27,Continental Airlines,2,2
2002-12-27,Delta Air Lines,2,2
2002-12-27,Southwest Airlines,1,1
2002-12-27,UAL,1,1
2002-12-28,American Airlines,1,1
2002-12-30,Aero Mexico,1,1
2002-12-30,Air Canada,1,1
2002-12-30,Alaska Airlines,1,1
2002-12-30,America West,2,2
2002-12-30,American Airlines,2,2
2002-12-30,Continental Airlines,4,4
2002-12-30,Delta Air Lines,9,9
2002-12-30,Northwest Airlines,6,6
2002-12-30,Southwest Airlines,8,8
2002-12-30,Spirit Airlines,1,1
2002-12-30,UAL,6,6
2002-12-30,USAir,4,4
2002-12-31,Alaska Airlines,1,1
2002-12-31,American Airlines,1,1
2002-12-31,Continental Airlines,2,2
2002-12-31,Delta Air Lines,1,1
2002-12-31,Frontier Airlines,1,1
2002-12-31,Northwest Airlines,1,1
2002-12-31,Southwest Airlines,2,2
2002-12-31,USAir,1,1
2003-01-01,AirTran Airlines,1,1
2003-01-01,Alaska Airlines,1,1
2003-01-01,American Airlines,1,1
2003-01-02,Alaska Airlines,1,1
2003-01-02,America West,1,1
2003-01-02,American Airlines,7,7
2003-01-02,Continental Airlines,3,3
2003-01-02,Delta Air Lines,2,2
2003-01-02,Northwest Airlines,1,1
2003-01-02,Southwest Airlines,7,7
2003-01-02,UAL,3,3
2003-01-02,USAir,4,4
2003-01-03,American Airlines,3,3
2003-01-03,Delta Air Lines,1,1
2003-01-03,Southwest Airlines,3,3
2003-01-03,UAL,2,2
2003-01-03,Virgin Atlantic,1,1
2003-01-05,Delta Air Lines,1,1
2003-01-05,USAir,1,1
2003-01-06,America West,1,1
2003-01-06,American Airlines,2,2
2003-01-06,Delta Air Lines,2,2
2003-01-06,Northwest Airlines,1,1
2003-01-06,UAL,1,1
2003-01-07,America West,4,4
2003-01-07,Delta Air Lines,5,5
2003-01-07,Frontier Airlines,1,1
2003-01-07,Northwest Airlines,2,2
2003-01-07,Southwest Airlines,3,3
2003-01-07,USAir,1,1
2003-01-08,Alaska Airlines,2,2
2003-01-08,American Airlines,7,7
2003-01-08,Continental Airlines,3,3
2003-01-08,Delta Air Lines,5,5
2003-01-08,Northwest Airlines,4,4
2003-01-08,Southwest Airlines,2,2
2003-01-08,UAL,9,9
2003-01-08,USAir,1,1
2003-01-09,AirTran Airlines,1,1
2003-01-09,American Airlines,1,1
2003-01-09,Continental Airlines,5,5
2003-01-09,Delta Air Lines,2,2
2003-01-09,Jet Blue,1,1
2003-01-09,Southwest Airlines,1,1
2003-01-09,USAir,2,2
2003-01-10,Continental Airlines,2,2
2003-01-10,Delta Air Lines,4,4
2003-01-11,AirTran Airlines,1,1
2003-01-13,Alaska Airlines,1,1
2003-01-13,America Trans Air,1,1
2003-01-13,America West,4,4
2003-01-13,American Airlines,3,3
2003-01-13,Continental Airlines,6,6
2003-01-13,Delta Air Lines,3,3
2003-01-13,Southwest Airlines,4,4
2003-01-13,UAL,7,7
2003-01-13,USAir,3,3
2003-01-14,AirTran Airlines,1,1
2003-01-14,America West,3,3
2003-01-14,American Airlines,9,9
2003-01-14,Continental Airlines,1,1
2003-01-14,Delta Air Lines,11,11
2003-01-14,Jet Blue,1,1
2003-01-14,Northwest Airlines,2,2
2003-01-14,Southwest Airlines,7,7
2003-01-14,UAL,3,3
2003-01-14,USAir,1,1
2003-01-15,American Airlines,1,1
2003-01-15,Continental Airlines,2,2
2003-01-15,Delta Air Lines,1,1
2003-01-15,UAL,1,1
2003-01-15,USAir,1,1
2003-01-16,Alaska Airlines,1,1
2003-01-16,American Airlines,3,3
2003-01-16,Southwest Airlines,3,3
2003-01-16,UAL,1,1
2003-01-17,American Airlines,1,1
2003-01-17,Delta Air Lines,1,1
2003-01-17,Southwest Airlines,1,1
2003-01-20,American Airlines,1,1
2003-01-21,America West,2,2
2003-01-21,American Airlines,5,5
2003-01-21,Continental Airlines,2,2
2003-01-21,Delta Air Lines,14,14
2003-01-21,Lufthansa,1,1
2003-01-21,Northwest Airlines,5,5
2003-01-21,Southwest Airlines,5,5
2003-01-21,UAL,8,8
2003-01-21,USAir,1,1
2003-01-22,Alaska Airlines,2,2
2003-01-22,America West,4,4
2003-01-22,American Airlines,14,14
2003-01-22,Continental Airlines,5,5
2003-01-22,Delta Air Lines,5,5
2003-01-22,Jet Blue,1,1
2003-01-22,Northwest Airlines,3,3
2003-01-22,Southwest Airlines,9,9
2003-01-22,UAL,17,17
2003-01-22,USAir,3,3
2003-01-23,Continental Airlines,1,1
2003-01-23,Delta Air Lines,3,3
2003-01-23,Lufthansa,1,1
2003-01-23,Northwest Airlines,1,1
2003-01-23,Spirit Airlines,1,1
2003-01-23,UAL,1,1
2003-01-23,USAir,2,2
2003-01-24,AirTran Airlines,1,1
2003-01-24,American Airlines,5,5
2003-01-24,Continental Airlines,1,1
2003-01-24,Delta Air Lines,5,5
2003-01-24,Northwest Airlines,1,1
2003-01-24,Southwest Airlines,1,1
2003-01-24,UAL,4,4
2003-01-24,USAir,1,1
2003-01-27,Alaska Airlines,2,2
2003-01-27,American Airlines,6,6
2003-01-27,Continental Airlines,1,1
2003-01-27,Delta Air Lines,4,4
2003-01-27,Jet Blue,1,1
2003-01-27,Northwest Airlines,2,2
2003-01-27,Southwest Airlines,2,2
2003-01-27,UAL,5,5
2003-01-27,USAir,3,3
2003-01-28,Alaska Airlines,1,1
2003-01-28,American Airlines,6,6
2003-01-28,Continental Airlines,1,1
2003-01-28,Delta Air Lines,3,3
2003-01-28,Northwest Airlines,5,5
2003-01-28,Southwest Airlines,1,1
2003-01-28,Spirit Airlines,1,1
2003-01-28,UAL,3,3
2003-01-28,USAir,2,2
2003-01-29,Alaska Airlines,2,2
2003-01-29,America West,5,5
2003-01-29,American Airlines,7,7
2003-01-29,British Airways,1,1
2003-01-29,Continental Airlines,4,4
2003-01-29,Delta Air Lines,2,2
2003-01-29,Jet Blue,2,2
2003-01-29,Northwest Airlines,1,1
2003-01-29,Southwest Airlines,3,3
2003-01-29,UAL,3,3
2003-01-29,USAir,2,2
2003-01-30,Alaska Airlines,3,3
2003-01-30,America West,1,1
2003-01-30,American Airlines,5,5
2003-01-30,Continental Airlines,3,3
2003-01-30,Delta Air Lines,2,2
2003-01-30,Northwest Airlines,2,2
2003-01-30,Southwest Airlines,1,1
2003-01-30,UAL,3,3
2003-01-30,USAir,1,1
2003-01-31,AirTran Airlines,1,1
2003-01-31,America West,1,1
2003-01-31,American Airlines,2,2
2003-01-31,Delta Air Lines,2,2
2003-01-31,Jet Blue,1,1
2003-01-31,Northwest Airlines,2,2
2003-01-31,Southwest Airlines,1,1
2003-01-31,UAL,1,1
2003-01-31,USAir,4,4
2003-02-03,AirTran Airlines,1,1
2003-02-03,Alaska Airlines,1,1
2003-02-03,Aloha Airlines,1,1
2003-02-03,America Trans Air,1,1
2003-02-03,America West,2,2
2003-02-03,American Airlines,5,5
2003-02-03,Continental Airlines,2,2
2003-02-03,Delta Air Lines,7,7
2003-02-03,Jet Blue,2,2
2003-02-03,Northwest Airlines,6,6
2003-02-03,Southwest Airlines,3,3
2003-02-03,UAL,11,11
2003-02-03,USAir,3,3
2003-02-04,AirTran Airlines,1,1
2003-02-04,America West,1,1
2003-02-04,American Airlines,6,6
2003-02-04,Continental Airlines,4,4
2003-02-04,Delta Air Lines,3,3
2003-02-04,Northwest Airlines,1,1
2003-02-04,Southwest Airlines,2,2
2003-02-04,UAL,4,4
2003-02-04,USAir,4,4
2003-02-05,Air Canada,1,1
2003-02-05,America Trans Air,1,1
2003-02-05,American Airlines,5,5
2003-02-05,Delta Air Lines,2,2
2003-02-05,Northwest Airlines,3,3
2003-02-05,Southwest Airlines,4,4
2003-02-05,UAL,4,4
2003-02-05,USAir,2,2
2003-02-06,Alaska Airlines,1,1
2003-02-06,America West,1,1
2003-02-06,American Airlines,4,4
2003-02-06,Delta Air Lines,2,2
2003-02-06,Horizon Air,1,1
2003-02-06,Northwest Airlines,2,2
2003-02-06,Spirit Airlines,1,1
2003-02-06,UAL,4,4
2003-02-07,American Airlines,1,1
2003-02-07,Continental Airlines,2,2
2003-02-07,UAL,2,2
2003-02-09,American Airlines,1,1
2003-02-10,Air Canada,1,1
2003-02-10,America West,1,1
2003-02-10,American Airlines,4,4
2003-02-10,Delta Air Lines,1,1
2003-02-10,Jet Blue,1,1
2003-02-10,Northwest Airlines,2,2
2003-02-10,Southwest Airlines,1,1
2003-02-10,UAL,1,1
2003-02-11,Alaska Airlines,1,1
2003-02-11,America West,3,3
2003-02-11,American Airlines,14,14
2003-02-11,British Airways,1,1
2003-02-11,Continental Airlines,4,4
2003-02-11,Delta Air Lines,10,10
2003-02-11,Lan Airlines,1,1
2003-02-11,Northwest Airlines,8,8
2003-02-11,Southwest Airlines,7,7
2003-02-11,Spirit Airlines,1,1
2003-02-11,UAL,4,4
2003-02-11,USAir,3,3
2003-02-12,Alaska Airlines,3,3
2003-02-12,America West,2,2
2003-02-12,American Airlines,8,8
2003-02-12,Continental Airlines,4,4
2003-02-12,Delta Air Lines,1,1
2003-02-12,Northwest Airlines,3,3
2003-02-12,Southwest Airlines,3,3
2003-02-12,UAL,8,8
2003-02-12,USAir,6,6
2003-02-13,AirTran Airlines,1,1
2003-02-13,American Airlines,1,1
2003-02-13,Continental Airlines,1,1
2003-02-13,Delta Air Lines,2,2
2003-02-13,Jet Blue,1,1
2003-02-13,Spirit Airlines,1,1
2003-02-14,Alaska Airlines,1,1
2003-02-14,American Airlines,2,2
2003-02-14,Delta Air Lines,2,2
2003-02-14,Lufthansa,1,1
2003-02-14,Northwest Airlines,1,1
2003-02-14,UAL,2,2
2003-02-14,USAir,1,1
2003-02-15,American Airlines,1,1
2003-02-17,Delta Air Lines,1,1
2003-02-20,American Airlines,2,2
2003-02-20,Continental Airlines,1,1
2003-02-20,Frontier Airlines,1,1
2003-02-20,Jet Blue,1,1
2003-02-20,Northwest Airlines,2,2
2003-02-20,Southwest Airlines,1,1
2003-02-20,UAL,3,3
2003-02-20,USAir,2,2
2003-02-21,Alaska Airlines,1,1
2003-02-21,America Trans Air,1,1
2003-02-21,America West,1,1
2003-02-21,American Airlines,3,3
2003-02-21,Continental Airlines,1,1
2003-02-21,Delta Air Lines,7,7
2003-02-21,Northwest Airlines,5,5
2003-02-21,Southwest Airlines,1,1
2003-02-21,Spirit Airlines,1,1
2003-02-21,UAL,5,5
2003-02-21,USAir,1,1
2003-02-24,Alaska Airlines,4,4
2003-02-24,Aloha Airlines,1,1
2003-02-24,America Trans Air,2,2
2003-02-24,America West,2,2
2003-02-24,American Airlines,9,9
2003-02-24,Continental Airlines,3,3
2003-02-24,Delta Air Lines,9,9
2003-02-24,Frontier Airlines,2,2
2003-02-24,Jet Blue,1,1
2003-02-24,Northwest Airlines,10,10
2003-02-24,Southwest Airlines,7,7
2003-02-24,Spirit Airlines,2,2
2003-02-24,UAL,15,15
2003-02-24,USAir,7,7
2003-02-25,Alaska Airlines,4,4
2003-02-25,Aloha Airlines,1,1
2003-02-25,America West,2,2
2003-02-25,American Airlines,12,12
2003-02-25,Continental Airlines,7,7
2003-02-25,Delta Air Lines,12,12
2003-02-25,Frontier Airlines,1,1
2003-02-25,Jet Blue,1,1
2003-02-25,Midwest Express Airlines,1,1
2003-02-25,Northwest Airlines,8,8
2003-02-25,Southwest Airlines,6,6
2003-02-25,UAL,7,7
2003-02-25,USAir,5,5
2003-02-26,Alaska Airlines,2,2
2003-02-26,America West,1,1
2003-02-26,American Airlines,6,6
2003-02-26,Delta Air Lines,7,7
2003-02-26,Frontier Airlines,1,1
2003-02-26,Jet Blue,1,1
2003-02-26,Northwest Airlines,3,3
2003-02-26,Southwest Airlines,3,3
2003-02-26,UAL,3,3
2003-02-26,USAir,6,6
2003-02-27,Alaska Airlines,1,1
2003-02-27,America Trans Air,1,1
2003-02-27,America West,2,2
2003-02-27,American Airlines,3,3
2003-02-27,Continental Airlines,1,1
2003-02-27,Delta Air Lines,3,3
2003-02-27,Northwest Airlines,5,5
2003-02-27,UAL,3,3
2003-02-28,Alaska Airlines,1,1
2003-02-28,American Airlines,6,6
2003-02-28,Continental Airlines,1,1
2003-02-28,Delta Air Lines,1,1
2003-02-28,Northwest Airlines,1,1
2003-02-28,UAL,1,1
2003-03-03,Alaska Airlines,1,1
2003-03-03,American Airlines,4,4
2003-03-03,Continental Airlines,1,1
2003-03-03,Delta Air Lines,4,4
2003-03-03,Northwest Airlines,4,4
2003-03-03,Southwest Airlines,2,2
2003-03-03,UAL,4,4
2003-03-03,USAir,3,3
2003-03-04,Aloha Airlines,1,1
2003-03-04,America Trans Air,2,2
2003-03-04,American Airlines,5,5
2003-03-04,Continental Airlines,2,2
2003-03-04,Delta Air Lines,4,4
2003-03-04,Northwest Airlines,2,2
2003-03-04,Southwest Airlines,9,9
2003-03-04,UAL,2,2
2003-03-04,USAir,2,2
2003-03-05,AirTran Airlines,1,1
2003-03-05,Alaska Airlines,6,6
2003-03-05,America Trans Air,1,1
2003-03-05,America West,2,2
2003-03-05,American Airlines,3,3
2003-03-05,Delta Air Lines,4,4
2003-03-05,Northwest Airlines,8,8
2003-03-05,Southwest Airlines,5,5
2003-03-05,Spirit Airlines,1,1
2003-03-05,UAL,5,5
2003-03-05,USAir,4,4
2003-03-06,American Airlines,3,3
2003-03-06,Continental Airlines,1,1
2003-03-06,Delta Air Lines,4,4
2003-03-06,Jet Blue,1,1
2003-03-06,Northwest Airlines,1,1
2003-03-06,Southwest Airlines,2,2
2003-03-06,UAL,3,3
2003-03-06,USAir,2,2
2003-03-07,Alaska Airlines,1,1
2003-03-07,America West,1,1
2003-03-07,American Airlines,3,3
2003-03-07,Continental Airlines,1,1
2003-03-07,UAL,2,2
2003-03-10,Air Canada,1,1
2003-03-10,America West,1,1
2003-03-10,American Airlines,3,3
2003-03-10,Continental Airlines,1,1
2003-03-10,Southwest Airlines,2,2
2003-03-11,Alaska Airlines,7,7
2003-03-11,Aloha Airlines,2,2
2003-03-11,America West,2,2
2003-03-11,American Airlines,11,11
2003-03-11,Continental Airlines,4,4
2003-03-11,Delta Air Lines,13,13
2003-03-11,Frontier Airlines,2,2
2003-03-11,Frontier Aviation,1,1
2003-03-11,Hawaiian Airlines,1,1
2003-03-11,Jet Blue,2,2
2003-03-11,Korean Airlines,1,1
2003-03-11,Northwest Airlines,9,9
2003-03-11,Qantus Airways,1,1
2003-03-11,Southwest Airlines,5,5
2003-03-11,UAL,15,15
2003-03-11,USAir,9,9
2003-03-12,Alaska Airlines,1,1
2003-03-12,American Airlines,3,3
2003-03-12,Continental Airlines,1,1
2003-03-12,Delta Air Lines,3,3
2003-03-12,Northwest Airlines,2,2
2003-03-12,USAir,2,2
2003-03-13,Air Jamaica,1,1
2003-03-13,American Airlines,6,6
2003-03-13,Continental Airlines,1,1
2003-03-13,Delta Air Lines,2,2
2003-03-13,Northwest Airlines,1,1
2003-03-13,Southwest Airlines,5,5
2003-03-13,Spirit Airlines,1,1
2003-03-13,UAL,6,6
2003-03-13,USAir,1,1
2003-03-14,Alaska Airlines,1,1
2003-03-14,American Airlines,5,5
2003-03-14,British Airways,1,1
2003-03-14,Continental Airlines,1,1
2003-03-14,Delta Air Lines,4,4
2003-03-14,Jet Blue,1,1
2003-03-14,KLM Royal Dutch Airlines,1,1
2003-03-14,Northwest Airlines,1,1
2003-03-14,Southwest Airlines,2,2
2003-03-14,Spirit Airlines,1,1
2003-03-14,UAL,6,6
2003-03-14,USAir,4,4
2003-03-17,AirTran Airlines,1,1
2003-03-17,Alaska Airlines,3,3
2003-03-17,American Airlines,5,5
2003-03-17,Continental Airlines,2,2
2003-03-17,Delta Air Lines,6,6
2003-03-17,Frontier Airlines,1,1
2003-03-17,Jet Blue,1,1
2003-03-17,Northwest Airlines,2,2
2003-03-17,Southwest Airlines,4,4
2003-03-17,Spirit Airlines,1,1
2003-03-17,UAL,4,4
2003-03-17,USAir,7,7
2003-03-18,Air Canada,1,1
2003-03-18,AirTran Airlines,2,2
2003-03-18,Alaska Airlines,7,7
2003-03-18,America Trans Air,1,1
2003-03-18,America West,4,4
2003-03-18,American Airlines,12,12
2003-03-18,Continental Airlines,5,5
2003-03-18,Delta Air Lines,10,10
2003-03-18,Jet Blue,1,1
2003-03-18,Northwest Airlines,6,6
2003-03-18,Southwest Airlines,5,5
2003-03-18,UAL,9,9
2003-03-18,USAir,6,6
2003-03-19,AirTran Airlines,1,1
2003-03-19,American Airlines,4,4
2003-03-19,Continental Airlines,1,1
2003-03-19,Delta Air Lines,5,5
2003-03-19,Northwest Airlines,2,2
2003-03-19,Southwest Airlines,3,3
2003-03-19,UAL,7,7
2003-03-19,USAir,1,1
2003-03-20,Air Canada,1,1
2003-03-20,America West,1,1
2003-03-20,American Airlines,2,2
2003-03-20,Continental Airlines,2,2
2003-03-20,Delta Air Lines,2,2
2003-03-20,Northwest Airlines,2,2
2003-03-20,Southwest Airlines,2,2
2003-03-20,UAL,2,2
2003-03-20,USAir,2,2
2003-03-21,AirTran Airlines,1,1
2003-03-21,Alitalia,1,1
2003-03-21,American Airlines,2,2
2003-03-21,Continental Airlines,2,2
2003-03-21,Delta Air Lines,1,1
2003-03-21,Frontier Airlines,1,1
2003-03-21,Northwest Airlines,1,1
2003-03-21,Southwest Airlines,3,3
2003-03-21,Spirit Airlines,1,1
2003-03-21,UAL,2,2
2003-03-21,USAir,1,1
2003-03-22,Delta Air Lines,2,2
2003-03-24,Air Canada,1,1
